CODIBGE_domicílio do devedor;COMARCA_ABR - DOMICILIO DO DEVEDOR;CODIBGE_ABR_Praça de Protesto;PRAÇA DE PROTESTO;ABR_UF;;
1200013;ACRELANDIA;1200013;ACRELANDIA;AC;;
1200054;ASSIS BRASIL;1200054;ASSIS BRASIL;AC;;
1200104;BRASILEIA;1200104;BRASILEIA;AC;;
1200138;BUJARI;1200138;BUJARI;AC;;
1200179;CAPIXABA;1200179;CAPIXABA;AC;;
1200203;CRUZEIRO DO SUL;1200203;CRUZEIRO DO SUL;AC;;
1200252;EPITACIOLANDIA;1200252;EPITACIOLANDIA;AC;;
1200302;FEIJO;1200302;FEIJO;AC;;
1200609;JORDAO;1200328;TARAUACA;AC;;
1200336;MANCIO LIMA;1200336;MANCIO LIMA;AC;;
1200344;MANOEL URBANO;1200344;MANOEL URBANO;AC;;
1200203;MARECHAL THAUMATURGO;1200351;CRUZEIRO DO SUL;AC;;
1200385;PLACIDO DE CASTRO;1200385;PLACIDO DE CASTRO;AC;;
1200807;PORTO ACRE;1200807;PORTO ACRE;AC;;
1200393;PORTO WALTER;1200393;PORTO WALTER;AC;;
1200401;RIO BRANCO;1200401;RIO BRANCO;AC;;
1200427;RODRIGUES ALVES;1200427;RODRIGUES ALVES;AC;;
1200344;SANTA ROSA DO PURUS;1200435;MANOEL URBANO;AC;;
1200500;SENA MADUREIRA;1200500;SENA MADUREIRA;AC;;
1200450;SENADOR GUIOMARD;1200450;SENADOR GUIOMARD;AC;;
1200609;TARAUACA;1200609;TARAUACA;AC;;
1200708;XAPURI;1200708;XAPURI;AC;;
2700102;AGUA BRANCA;2700102;AGUA BRANCA;AL;;
2700201;ANADIA;2700201;ANADIA;AL;;
2700300;ARAPIRACA;2700300;ARAPIRACA;AL;;
2700409;ATALAIA;2700409;ATALAIA;AL;;
2708600;BARRA DE SAO MIGUEL;2700607;SAO MIGUEL DOS CAMPOS;AL;;
2708501;BARRA DE STO ANTONIO;2700508;SAO LUIZ DO QUITUNDE;AL;;
2706307;BELEM;2700805;PALMEIRA DOS INDIOS;AL;;
2701001;BOCA DA MATA;2701001;BOCA DA MATA;AL;;
2707305;BRANQUINHA;2701100;PORTO CALVO;AL;;
2701209;CACIMBINHAS;2701209;CACIMBINHAS;AL;;
2709400;CAJUEIRO;2701308;VICOSA;AL;;
2704302;CAMPESTRE;2701357;MACEIO;AL;;
2706703;CAMPO GRANDE;2701506;PENEDO;AL;;
2705002;CANAPI;2701605;MATA GRANDE;AL;;
2701704;CAPELA;2701704;CAPELA;AL;;
2705002;CARNEIROS;2701803;MATA GRANDE;AL;;
2709400;CHA PRETA;2701902;VICOSA;AL;;
2709103;COITE DO NOIA;2702009;TAQUARANA;AL;;
2708303;COQUEIRO SECO;2702207;SAO JOSE DA LAJE;AL;;
2702306;CORURIPE;2702306;CORURIPE;AL;;
2700300;CRAIBAS;2702355;ARAPIRACA;AL;;
2702405;DELMIRO GOUVEIA;2702405;DELMIRO GOUVEIA;AL;;
2702504;DOIS RIACHOS;2702504;DOIS RIACHOS;AL;;
2702603;FEIRA GRANDE;2702603;FEIRA GRANDE;AL;;
2706703;FELIZ DESERTO;2702702;PENEDO;AL;;
2708501;FLEXEIRA;2702801;SAO LUIZ DO QUITUNDE;AL;;
2702900;GIRAU DO PONCIANO;2702900;GIRAU DO PONCIANO;AL;;
2703007;IBATEGUARA;2703007;IBATEGUARA;AL;;
2703106;IGACI;2703106;IGACI;AL;;
2703205;IGREJA NOVA;2703205;IGREJA NOVA;AL;;
2707305;JACUIPE;2703502;PORTO CALVO;AL;;
2704500;JAPARATINGA;2703601;MARAGOGI;AL;;
2702306;JEQUIA DA PRAIA;2703759;CORURIPE;AL;;
2703809;JOAQUIM GOMES;2703809;JOAQUIM GOMES;AL;;
2707305;JUNDIA;2703908;PORTO CALVO;AL;;
2704005;JUNQUEIRO;2704005;JUNQUEIRO;AL;;
2702603;LAGOA DA CANOA;2704104;FEIRA GRANDE;AL;;
2704302;MACEIO;2704302;MACEIO;AL;;
2704401;MAJOR ISIDORO;2704401;MAJOR ISIDORO;AL;;
2709400;MAR VERMELHO;2704906;VICOSA;AL;;
2704500;MARAGOGI;2704500;MARAGOGI;AL;;
2704609;MARAVILHA;2704609;MARAVILHA;AL;;
2704708;MARECHAL DEODORO;2704708;MARECHAL DEODORO;AL;;
2704807;MARIBONDO;2704807;MARIBONDO;AL;;
2705002;MATA GRANDE;2705002;MATA GRANDE;AL;;
2705101;MATRIZ DE CAMARAGIBE;2705101;MATRIZ DE CAMARAGIBE;AL;;
2705200;MESSIAS;2705200;MESSIAS;AL;;
2706307;MINADOR DO NEGRAO;2705309;PALMEIRA DOS INDIOS;AL;;
2705507;MURICI;2705507;MURICI;AL;;
2705606;NOVO LINO;2705606;NOVO LINO (e-mail IEPTB e Graziela 05/01/22);AL;;
2706000;OLIVENCA;2706000;OLIVENCA;AL;;
2706109;OURO BRANCO;2706109;OURO BRANCO;AL;;
2706307;PALMEIRA DOS INDIOS;2706307;PALMEIRA DOS INDIOS;AL;;
2706406;PAO DE ACUCAR;2706406;PAO DE ACUCAR;AL;;
2700102;PARICONHA;2706422;AGUA BRANCA;AL;;
2708501;PARIPUEIRA;2706448;SAO LUIZ DO QUITUNDE;AL;;
2706505;PASSO DO CAMARAGIBE;2706505;SÃO LUIZ DO QUITUNDE (e-mail Roberta em 04/11/2021);AL;;
2709400;PAULO JACINTO;2706604;VICOSA;AL;;
2706703;PENEDO;2706703;PENEDO;AL;;
2706802;PIACABUCU;2706802;PIACABUCU;AL;;
2706901;PILAR;2706901;PILAR;AL;;
2707008;PINDOBA;2707008;PINDOBA;AL;;
2702405;PIRANHAS;2707107;DELMIRO GOUVEIA;AL;;
2707305;PORTO CALVO;2707305;PORTO CALVO;AL;;
2707404;PORTO DE PEDRAS;2707404;PORTO DE PEDRAS;AL;;
2704302;PORTO REAL DO COLEGIO;2707503;MACEIO;AL;;
2707602;QUEBRANGULO;2707602;QUEBRANGULO;AL;;
2707701;RIO LARGO;2707701;RIO LARGO;AL;;
2708600;ROTEIRO;2707800;SAO MIGUEL DOS CAMPOS;AL;;
2708006;SANTANA DO IPANEMA;2708006;SANTANA DO IPANEMA;AL;;
2704500;SAO BRAS;2708204;MARAGOGI;AL;;
2708303;SAO JOSE DA LAJE;2708303;SAO JOSE DA LAJE;AL;;
2708402;SAO JOSE DA TAPERA;2708402;SAO JOSE DA TAPERA;AL;;
2708501;SAO LUIZ DO QUITUNDE;2708501;SAO LUIZ DO QUITUNDE;AL;;
2708600;SAO MIGUEL DOS CAMPOS;2708600;SAO MIGUEL DOS CAMPOS;AL;;
2707404;SAO MIGUEL DOS MILAGRES;2708709;PORTO DE PEDRAS;AL;;
2708808;SAO SEBASTIAO;2708808;SAO SEBASTIAO;AL;;
2708907;SATUBA;2708907;SATUBA;AL;;
2708907;STA LUZIA DO NORTE;2707909;SATUBA;AL;;
2709103;TAQUARANA;2709103;TAQUARANA;AL;;
2704005;TEOTONIO VILELA;2709152;JUNQUEIRO ;AL;;
2709400;VICOSA;2709400;VICOSA;AL;;
1300029;ALVARAES;1300029;ALVARAES;AM;;
1300060;AMATURA;1300060;AMATURA;AM;;
1300086;ANAMA;1300086;ANAMA;AM;;
1300102;ANORI;1300102;ANORI;AM;;
1300144;APUI;1300144;APUI;AM;;
1300201;ATALAIA DO NORTE;1300201;ATALAIA DO NORTE;AM;;
1300300;AUTAZES;1300300;AUTAZES;AM;;
1300409;BARCELOS;1300409;BARCELOS;AM;;
1300508;BARREIRINHA;1300508;BARREIRINHA;AM;;
1300607;BENJAMIN CONSTANT;1300607;BENJAMIN CONSTANT;AM;;
1300631;BERURI;1300631;BERURI;AM;;
1300680;BOA VISTA DO RAMOS;1300680;BOA VISTA DO RAMOS;AM;;
1300706;BOCA DO ACRE;1300706;BOCA DO ACRE;AM;;
1300805;BORBA;1300805;BORBA;AM;;
1300839;CAAPIRANGA;1300839;CAAPIRANGA;AM;;
1300904;CANUTAMA;1300904;CANUTAMA;AM;;
1301001;CARAUARI;1301001;CARAUARI;AM;;
1301100;CAREIRO;1301100;CAREIRO;AM;;
1301159;CAREIRO DA VARZEA;1301159;CAREIRO DA VARZEA;AM;;
1301209;COARI;1301209;COARI;AM;;
1301308;CODAJAS;1301308;CODAJAS;AM;;
1301407;EIRUNEPE;1301407;EIRUNEPE;AM;;
1301506;ENVIRA;1301506;ENVIRA;AM;;
1301605;FONTE BOA;1301605;FONTE BOA;AM;;
1301654;GUAJARA;1301654;GUAJARA;AM;;
1301704;HUMAITA;1301704;HUMAITA;AM;;
1301803;IPIXUNA;1301803;IPIXUNA;AM;;
1301852;IRANDUBA;1301852;IRANDUBA;AM;;
1301902;ITACOATIARA;1301902;ITACOATIARA;AM;;
1301951;ITAMARATI;1301951;ITAMARATI;AM;;
1302009;ITAPIRANGA;1302009;ITAPIRANGA;AM;;
1302108;JAPURA;1302108;JAPURA;AM;;
1302207;JURUA;1302207;JURUA;AM;;
1302306;JUTAI;1302306;JUTAI;AM;;
1302405;LABREA;1302405;LABREA;AM;;
1302504;MANACAPURU;1302504;MANACAPURU;AM;;
1302553;MANAQUIRI;1302553;MANAQUIRI;AM;;
1302603;MANAUS;1302603;MANAUS;AM;;
1302702;MANICORE;1302702;MANICORE;AM;;
1302801;MARAA;1302801;MARAA;AM;;
1302900;MAUES;1302900;MAUES;AM;;
1303007;NHAMUNDA;1303007;NHAMUNDA;AM;;
1303106;NOVA OLINDA DO NORTE;1303106;NOVA OLINDA DO NORTE;AM;;
1303205;NOVO AIRAO;1303205;NOVO AIRAO;AM;;
1303304;NOVO ARIPUANA;1303304;NOVO ARIPUANA;AM;;
1303403;PARINTINS;1303403;PARINTINS;AM;;
1303502;PAUINI;1303502;PAUINI;AM;;
1303536;PRESIDENTE FIGUEIREDO;1303536;PRESIDENTE FIGUEIREDO;AM;;
1303569;RIO PRETO DA EVA;1303569;RIO PRETO DA EVA;AM;;
1303601;SANTA ISABEL DO RIO NEGRO;1303601;SANTA ISABEL DO RIO NEGRO;AM;;
1303700;SANTO ANTONIO DO ICA;1303700;SANTO ANTONIO DO ICA;AM;;
1303809;SAO GABRIEL DA CACHOEIRA;1303809;SAO GABRIEL DA CACHOEIRA;AM;;
1303908;SAO PAULO DE OLIVENCA;1303908;SAO PAULO DE OLIVENCA;AM;;
1303957;SAO SEBASTIAO DO UATUMA;1303957;SAO SEBASTIAO DO UATUMA;AM;;
1304005;SILVES;1304005;SILVES;AM;;
1304062;TABATINGA;1304062;TABATINGA;AM;;
1304104;TAPAUA;1304104;TAPAUA;AM;;
1304203;TEFE;1304203;TEFE;AM;;
1303700;TONANTINS;1304237;SANTO ANTONIO DO ICA;AM;;
1304260;UARINI;1304260;UARINI;AM;;
1304302;URUCARA;1304302;URUCARA;AM;;
1304401;URUCURITUBA;1304401;URUCURITUBA;AM;;
1600105;AMAPA;1600105;AMAPA;AP;;
1600204;CALCOENE;1600204;CALCOENE;AP;;
1600238;CUTIAS;1600212;FERREIRA GOMES;AP;;
1600238;FERREIRA GOMES;1600238;FERREIRA GOMES;AP;;
1600303;ITAUBAL;1600253;MACAPA;AP;;
1600279;LARANJAL DO JARI;1600279;LARANJAL DO JARI;AP;;
1600303;MACAPA;1600303;MACAPA;AP;;
1600402;MAZAGAO;1600402;MAZAGAO;AP;;
1600501;OIAPOQUE;1600501;OIAPOQUE;AP;;
1600154;PEDRA BRANCA DO AMAPARI;1600154;PEDRA BRANCA DO AMAPARI;AP;;
1600535;PORTO GRANDE;1600535;PORTO GRANDE;AP;;
1600550;PRACUUBA;1600550;PRACUUBA;AP;;
1600600;SANTANA;1600600;SANTANA;AP;;
1600055;SERRA DO NAVIO;1600055;SERRA DO NAVIO;AP;;
1600709;TARTARUGALZINHO;1600709;TARTARUGALZINHO;AP;;
1600808;VITORIA DO JARI;1600808;VITORIA DO JARI;AP;;
2900207;ABARE;2900207;ABARE;BA;;
2900306;ACAJUTIBA;2900306;ACAJUTIBA;BA;;
2923803;ADUSTINA;2900355;MUNDO NOVO BA;BA;;
2914505;AGUA FRIA;2900405;IRARA;BA;;
2915205;AIQUARA;2900603;ITAGIBA;BA;;
2900702;ALAGOINHAS;2900702;ALAGOINHAS;BA;;
2900801;ALCOBACA;2900801;ALCOBACA;BA;;
2908002;ALMADINA;2900900;COARACI;BA;;
2901007;AMARGOSA;2901007;AMARGOSA;BA;;
2901106;AMELIA RODRIGUES;2901106;AMELIA RODRIGUES;BA;;
2901155;AMERICA DOURADA;2901155;AMERICA DOURADA;BA;;
2901205;ANAGE;2901205;ANAGE;BA;;
2901304;ANDARAI;2901304;ANDARAI;BA;;
2930105;ANDORINHA;2901353;SENHOR DO BONFIM;BA;;
2901403;ANGICAL;2901403;ANGICAL;BA;;
2930402;ANGUERA;2901502;SERRA PRETA;BA;;
2901601;ANTAS;2901601;ANTAS;BA;;
2928802;ANTONIO CARDOSO;2901700;SANTO ESTEVAO;BA;;
2906006;ANTONIO GONCALVES;2901809;CAMPO FORMOSO;BA;;
2901908;APORA;2901908;APORA;BA;;
2917607;APUAREMA;2901957;JAGUAQUARA;BA;;
2900702;ARACAS;2902054;ALAGOINHAS;BA;;
2904605;ARACATU;2902005;BRUMADO;BA;;
2902104;ARACI;2902104;ARACI;BA;;
2900702;ARAMARI;2902203;ALAGOINHAS;BA;;
2905602;ARATACA;2902252;CAMACAN;BA;;
2922508;ARATUIPE;2902302;NAZARE;BA;;
